id,name,nameEn,distillery,distillerySlug,country,region,type,age,abv,priceYen,priceAsOf,priceSource,availability,rating,notes,affiliateId,cask,recommendedFor,flavor.peat,flavor.sweet,flavor.fruity,flavor.spicy,flavor.oak,flavor.smoky,flavor.complex,flavor.body
aberfeldy-12,アバフェルディ12年,Aberfeldy 12,アバフェルディ蒸溜所,aberfeldy,scotland,highland,single-malt,12,40.0,4800,2026-08,editorial,common,82,デュワーズの主要原酒。蜂蜜とヘザーの穏やかな甘さ。,,バーボン,ハイボール,0,4,3,1,3,0,3,2
aberlour-12,アベラワー12年 ダブルカスク,Aberlour 12 Double Cask,アベラワー蒸溜所,aberlour,scotland,speyside,single-malt,12,40.0,5500,2026-08,editorial,common,84,シェリー樽とバーボン樽の原酒をバッティング。バランスの良い甘み。,,シェリー|バーボン,ストレート|ロック,0,4,4,2,4,0,4,3
aberlour-16,アベラワー16年,Aberlour 16 Year Old,アベラワー蒸溜所,aberlour,scotland,speyside,single-malt,16,43,9500,2026-08,editorial,limited,86,シェリー樽主体の濃厚なアベラワー。プルーンとチョコレートの深い甘み。,,シェリー|バーボン,ストレート,0,4,4,3,4,0,4,4
aberlour-a-bunadh,アベラワー アブーナ,Aberlour A'bunadh,アベラワー蒸溜所,aberlour,scotland,speyside,single-malt,,60.0,9500,2026-08,editorial,limited,89,カスクストレングス・ノンチルフィルタード。濃厚なシェリー感が凝縮。,,シェリー,ロック|水割り,0,5,4,3,5,0,5,5
akkeshi-white,厚岸 ニューボーン ホワイト,Akkeshi New Born White,厚岸蒸溜所,akkeshi,japan,japan,single-malt,,55,12000,2026-08,editorial,rare,83,海の潮風が吹く北海道の蒸溜所による若いモルト。ほのかなピートと柑橘が個性的。,,バーボン|シェリー,ストレート,2,3,3,2,3,2,3,3
amrut-cask-strength,アムルット カスクストレングス,Amrut Cask Strength,アムルット蒸溜所,amrut,india,india,single-malt,,61.5,8500,2026-08,editorial,limited,86,標高910mの高温熟成が生む凝縮感。蜂蜜とスパイス、力強いボディ。,,バーボン,ストレート,1,4,4,4,4,1,4,5
amrut-fusion,アムルット フュージョン,Amrut Fusion,アムルット蒸溜所,amrut,india,india,single-malt,,50.0,7000,2026-08,editorial,limited,87,インド産大麦とスコットランド産ピーテッド麦芽を組み合わせた1本。,,アメリカンオーク,ストレート,2,4,4,4,4,2,5,5
amrut-peated,アムルット ピーテッド,Amrut Peated,アムルット蒸溜所,amrut,india,india,single-malt,,46.0,8500,2026-08,editorial,limited,86,スコットランド産ピーテッド麦芽を使用。高温熟成で凝縮感が強い。,,アメリカンオーク,ストレート,4,3,3,4,4,4,4,5
ancnoc-12,アノック12年,anCnoc 12 Year Old,アノック蒸溜所（ノックドゥ）,ancnoc,scotland,highland,single-malt,12,46,5500,2026-08,editorial,common,83,ライトで飲みやすく、ハチミツと柑橘の香り。初心者にも優しいバランス。,,バーボン|シェリー,ストレート|ハイボール,0,4,4,2,3,0,3,3
ardbeg-10,アードベッグ10年,Ardbeg 10 Year Old,アードベッグ蒸溜所,ardbeg,scotland,islay,single-malt,10,46.0,5500,2026-08,editorial,common,88,強いピートの奥にレモンのような酸。度数46%で味が濃い。,,アメリカンオーク,ストレート,5,2,2,3,3,5,5,4
ardbeg-5-wee-beastie,アードベッグ5年 ウィービースティ,Ardbeg Wee Beastie,アードベッグ蒸溜所,ardbeg,scotland,islay,single-malt,5,47.4,6000,2026-08,editorial,common,83,若いアードベッグらしい鋭いピートと塩気。胡椒と黒糖が荒々しくも旨い。,,バーボン|シェリー,ロック|ハイボール,5,2,1,3,3,5,3,4
ardbeg-an-oa,アードベッグ アン・オア,Ardbeg An Oa,アードベッグ蒸溜所,ardbeg,scotland,islay,single-malt,,46.6,7000,2026-08,editorial,common,86,複数の樽を組み合わせた、アードベッグの中ではまろやかなピート。スモークとバニラ。,,バーボン|シェリー|ワイン樽,ストレート|ロック,5,3,2,3,3,5,4,4
ardbeg-corryvreckan,アードベッグ コリヴレッカン,Ardbeg Corryvreckan,アードベッグ蒸溜所,ardbeg,scotland,islay,single-malt,,57.1,13000,2026-08,editorial,limited,89,世界で最も深い渦潮にちなむ濃厚なピート。チョコレートと胡椒、森の火の香り。,,バーボン|シェリー,ストレート|ロック,5,2,2,4,4,5,4,5
ardbeg-uigeadail,アードベッグ ウーガダール,Ardbeg Uigeadail,アードベッグ蒸溜所,ardbeg,scotland,islay,single-malt,,54.2,8500,2026-08,editorial,limited,90,シェリー樽原酒をヴァッティング。ピートと甘さが濃厚に共存。,,シェリー|バーボン,ストレート,5,3,2,3,4,5,5,5
arran-10,アラン10年,Arran 10 Year Old,アラン蒸溜所,arran,scotland,island,single-malt,10,46,5200,2026-08,editorial,common,83,島の清冽な空気で育ったフルーティなモルト。シトラスとハーブ、ミント。,,バーボン|シェリー,ストレート|ハイボール,0,4,4,2,3,0,3,3
auchentoshan-12,オーヘントッシャン12年,Auchentoshan 12 Year Old,オーヘントッシャン蒸溜所,auchentoshan,scotland,lowland,single-malt,12,40.0,4500,2026-08,editorial,common,81,3回蒸留による軽やかさ。ローランドらしい穏やかな飲み口。,,バーボン|シェリー,ストレート|水割り,0,3,4,1,3,0,2,2
auchentoshan-american-oak,オーヘントッシャン アメリカンオーク,Auchentoshan American Oak,オーヘントッシャン蒸溜所,auchentoshan,scotland,lowland,single-malt,,40.0,3800,2026-08,editorial,common,80,バーボン樽のみで熟成。軽やかでバニラの甘さが際立つ。,,バーボン,ロック|水割り,0,3,3,1,3,0,2,2
auchentoshan-three-wood,オーヘントッシャン スリーウッド,Auchentoshan Three Wood,オーヘントッシャン蒸溜所,auchentoshan,scotland,lowland,single-malt,,43,8000,2026-08,editorial,limited,84,3種類の樽で仕上げる滑らかなモルト。レーズンとダークチョコレートの甘さ。,,バーボン|オロロソシェリー|ペドロヒメネス,ストレート,0,5,4,3,3,0,3,3
aultmore-12,オルトモア12年,Aultmore 12 Year Old,オルトモア蒸溜所,aultmore,scotland,speyside,single-malt,12,46,6000,2026-08,editorial,common,84,フローラルでハーブ香。ミントとレモンの爽やかさが後半に広がる。,,バーボン|シェリー,ストレート,0,3,4,2,3,0,3,3
balblair-12,バルブレア12年,Balblair 12 Year Old,バルブレア蒸溜所,balblair,scotland,highland,single-malt,12,46,6200,2026-08,editorial,common,84,オレンジピールと白胡椒のスパイス。華やかな果実香でハイボールにも強い。,,バーボン,ストレート|ハイボール,0,4,4,3,3,0,3,3
