id,name,nameEn,distillery,distillerySlug,country,region,type,age,abv,priceYen,priceAsOf,priceSource,availability,rating,notes,affiliateId,cask,recommendedFor,flavor.peat,flavor.sweet,flavor.fruity,flavor.spicy,flavor.oak,flavor.smoky,flavor.complex,flavor.body
aberfeldy-12,アバフェルディ12年,Aberfeldy 12,アバフェルディ蒸溜所,aberfeldy,scotland,highland,single-malt,12,40.0,4800,2026-08,editorial,common,82,デュワーズの主要原酒。蜂蜜とヘザーの穏やかな甘さ。,,バーボン,ハイボール,0,4,3,1,3,0,3,2
aberlour-12,アベラワー12年 ダブルカスク,Aberlour 12 Double Cask,アベラワー蒸溜所,aberlour,scotland,speyside,single-malt,12,40.0,5500,2026-08,editorial,common,84,シェリー樽とバーボン樽の原酒をバッティング。バランスの良い甘み。,,シェリー|バーボン,ストレート|ロック,0,4,4,2,4,0,4,3
aberlour-a-bunadh,アベラワー アブーナ,Aberlour A'bunadh,アベラワー蒸溜所,aberlour,scotland,speyside,single-malt,,60.0,9500,2026-08,editorial,limited,89,カスクストレングス・ノンチルフィルタード。濃厚なシェリー感が凝縮。,,シェリー,ロック|水割り,0,5,4,3,5,0,5,5
amrut-fusion,アムルット フュージョン,Amrut Fusion,アムルット蒸溜所,amrut,india,india,single-malt,,50.0,7000,2026-08,editorial,limited,87,インド産大麦とスコットランド産ピーテッド麦芽を組み合わせた1本。,,アメリカンオーク,ストレート,2,4,4,4,4,2,5,5
amrut-peated,アムルット ピーテッド,Amrut Peated,アムルット蒸溜所,amrut,india,india,single-malt,,46.0,8500,2026-08,editorial,limited,86,スコットランド産ピーテッド麦芽を使用。高温熟成で凝縮感が強い。,,アメリカンオーク,ストレート,4,3,3,4,4,4,4,5
ardbeg-10,アードベッグ10年,Ardbeg 10 Year Old,アードベッグ蒸溜所,ardbeg,scotland,islay,single-malt,10,46.0,5500,2026-08,editorial,common,88,強いピートの奥にレモンのような酸。度数46%で味が濃い。,,アメリカンオーク,ストレート,5,2,2,3,3,5,5,4
ardbeg-an-oa,アードベッグ アン・オア,Ardbeg An Oa,アードベッグ蒸溜所,ardbeg,scotland,islay,single-malt,,46.6,7000,2026-08,editorial,common,86,複数の樽を組み合わせた、アードベッグの中ではまろやかなピート。スモークとバニラ。,,バーボン|シェリー|ワイン樽,ストレート|ロック,5,3,2,3,3,5,4,4
ardbeg-uigeadail,アードベッグ ウーガダール,Ardbeg Uigeadail,アードベッグ蒸溜所,ardbeg,scotland,islay,single-malt,,54.2,8500,2026-08,editorial,limited,90,シェリー樽原酒をヴァッティング。ピートと甘さが濃厚に共存。,,シェリー|バーボン,ストレート,5,3,2,3,4,5,5,5
auchentoshan-12,オーヘントッシャン12年,Auchentoshan 12 Year Old,オーヘントッシャン蒸溜所,auchentoshan,scotland,lowland,single-malt,12,40.0,4500,2026-08,editorial,common,81,3回蒸留による軽やかさ。ローランドらしい穏やかな飲み口。,,バーボン|シェリー,ストレート|水割り,0,3,4,1,3,0,2,2
auchentoshan-american-oak,オーヘントッシャン アメリカンオーク,Auchentoshan American Oak,オーヘントッシャン蒸溜所,auchentoshan,scotland,lowland,single-malt,,40.0,3800,2026-08,editorial,common,80,バーボン樽のみで熟成。軽やかでバニラの甘さが際立つ。,,バーボン,ロック|水割り,0,3,3,1,3,0,2,2
ballantines-finest,バランタイン ファイネスト,Ballantine's Finest,バランタイン,,scotland,highland,blended,,40.0,1500,2026-08,editorial,common,78,"40種以上の原酒を使いながら1,500円前後。ハイボールの定番。",,各種,ハイボール,1,3,3,1,2,1,2,2
balvenie-12-doublewood,ザ・バルヴェニー ダブルウッド12年,Balvenie DoubleWood 12,バルヴェニー蒸溜所,balvenie,scotland,speyside,single-malt,12,40.0,7000,2026-08,editorial,common,86,2種類の樽で熟成させる製法。蜂蜜とシナモンが重なる。,,アメリカンオーク|シェリー,ストレート,0,4,4,2,4,0,4,3
balvenie-14-caribbean-cask,バルヴェニー14年 カリビアンカスク,Balvenie 14 Caribbean Cask,バルヴェニー蒸溜所,balvenie,scotland,speyside,single-malt,14,43.0,10000,2026-08,editorial,limited,86,カリブのラム樽でフィニッシュ。バナナや砂糖きびのトロピカルな甘さが広がる。,,ラム樽,ストレート|ロック,0,5,4,2,3,0,3,4
black-nikka-clear,ブラックニッカ クリアブレンド,Black Nikka Clear Blend,ニッカウヰスキー,,japan,japan,blended,,37.0,1000,2026-08,editorial,common,74,国産ブレンデッドの中でも特に手頃な価格帯。ハイボール向け。,,各種,ハイボール,0,3,2,1,2,0,1,2
black-white,ブラック&ホワイト,Black & White,ディアジオ,,scotland,highland,blended,,40.0,1600,2026-08,editorial,common,76,犬のラベルで知られる歴史あるブレンデッド。飲みやすい。,,各種,ハイボール,1,3,2,1,2,1,2,2
bowmore-12,ボウモア12年,Bowmore 12 Year Old,ボウモア蒸溜所,bowmore,scotland,islay,single-malt,12,40.0,4500,2026-08,editorial,common,84,アイラの中では穏やかなピート。レモンと蜂蜜が寄り添う。,,シェリー|アメリカンオーク,ストレート|ハイボール,3,3,3,2,3,3,4,3
bowmore-15,ボウモア15年,Bowmore 15,ボウモア蒸溜所,bowmore,scotland,islay,single-malt,15,43.0,9500,2026-08,editorial,limited,86,シェリー樽で追加熟成。ピートと甘さのバランスが円熟している。,,シェリー,ストレート,3,4,3,2,4,3,4,4
bruichladdich-classic-laddie,ブルックラディ クラシックラディ,Bruichladdich Classic Laddie,ブルックラディ蒸溜所,bruichladdich,scotland,islay,single-malt,,50.0,6500,2026-08,editorial,common,83,ノンピート方針の看板ボトル。フルーティで軽やかな酒質。,,バーボン,ストレート|ロック,0,4,4,1,3,0,3,3
buffalo-trace,バッファロートレース,Buffalo Trace,バッファロートレース蒸溜所,buffalo-trace,usa,kentucky,bourbon,,45.0,3800,2026-08,editorial,limited,85,バランスの良さで評価が高い。バニラとオレンジピール。,,新樽,ストレート|ロック,0,4,3,3,4,0,4,4
bulleit-bourbon,バレット バーボン,Bulleit Bourbon,フォアローゼス蒸溜所（委託）,four-roses,usa,kentucky,bourbon,,45.0,3200,2026-08,editorial,common,83,高ライ麦比率のマッシュビル。スパイシーでドライな味わい。,,新樽,ロック|カクテル,0,3,2,4,4,0,3,4
bunnahabhain-12,ブナハーブン12年,Bunnahabhain 12,ブナハーブン蒸溜所,bunnahabhain,scotland,islay,single-malt,12,46.3,6500,2026-08,editorial,common,85,アイラ島にあってピートが控えめなモルト。ナッツとシェリー、麦の甘みが中心。,,シェリー|アメリカンオーク,ストレート|ロック,1,4,4,2,3,1,4,3
